recipient_type,number_of_forms_1042s,u_s_tax_withheld,total_u_s_source_income,interest_income,country,year,tax_haven,afchange,cayman,share_of_total_interest,share_of_total_income,share_of_total_forms,non_int_income,share_of_nonint_inc
Individuals,2305,4460,86406,69735,Cayman Islands,2017,1,0,1,0.08195440122223528,0.010502800005202415,0.0010127759155296554,16671,0.002260153098223724
Corporations,129134,2485671,74146774,60612168,Cayman Islands,2017,1,0,1,0.31250527117882704,0.21458070727622283,0.27392500546220894,13534606,0.08928610314793174
Individuals,322378,30523,817430,95987,China,2017,0,0,0,0.11280644023974615,0.09936004222221385,0.14164714711350077,721443,0.09780886759293492
Corporations,4025,77528,2964539,2107241,China,2017,0,0,0,0.01086454983996188,0.008579373599827099,0.008538015913588916,857298,0.005655487692550163
Individuals,79713,37924,334380,12067,France,2017,0,0,0,0.01418145493007404,0.04064447220956396,0.035024471390288685,322313,0.043697242249882015
Corporations,10256,72746,34310078,9978297,France,2017,0,0,0,0.0514462774188819,0.09929333950445872,0.021755500921681468,24331781,0.16051371633122427
Individuals,331751,53069,993705,85386,Germany,2017,0,0,0,0.10034786696439064,0.12078657592261724,0.14576547624853742,908319,0.12314438258205714
Corporations,25468,270780,24888662,6775414,Germany,2017,0,0,0,0.03493279747754314,0.07202776880244109,0.05402389795957329,18113248,0.11949083181823457
Individuals,67196,43402,218714,52230,Hong Kong,2017,1,0,0,0.061382066047714186,0.02658506817047243,0.029524724694113113,166484,0.022570891272549843
Corporations,5662,96802,2033854,1181525,Hong Kong,2017,1,0,0,0.006091727168207605,0.005885971921267605,0.012010495926146692,852329,0.0056227078209719235
Individuals,59800,9179,176832,1920,Ireland,2017,0,0,0,0.002256434363614996,0.021494238021896088,0.026275054120899522,174912,0.02371350841080367
Corporations,17108,1022685,28802662,19429893,Ireland,2017,0,0,0,0.10017698065082564,0.0833548818104748,0.03629027981358488,9372769,0.061830984937111366
Individuals,2363,721,44094,38575,Luxembourg,2017,0,0,0,0.045334351862733574,0.005359702606640688,0.0010382600817338723,5519,7.482325564811188e-4
Corporations,20965,1335575,40373738,32834638,Luxembourg,2017,0,0,0,0.1692893983308536,0.11684156690923483,0.04447192636730226,7539100,0.04973449986224736
Individuals,254964,238581,1174378,155628,Mexico,2017,0,0,0,0.18289810788576802,0.14274769419380137,0.11202663710503387,1018750,0.1381159479824497
Corporations,7030,181550,4681747,622142,Mexico,2017,0,0,0,0.0032076505565967845,0.013548972239147375,0.014912360713672069,4059605,0.026780706491925918
Individuals,428778,182357,1802876,141934,United Kingdom,2017,0,0,0,0.16680455987777648,0.21914272228987927,0.18839741063296078,1660942,0.2251804455203592
