recipient_type,number_of_forms_1042s,u_s_tax_withheld,total_u_s_source_income,interest_income,country,year,tax_haven,afchange,cayman,share_of_total_interest,share_of_total_income,share_of_total_forms,non_int_income,share_of_nonint_inc
Corporations,2782,4334,117299,66920,Uruguay,2017,0,0,0,2.4889422362588847e-4,2.2544391650184198e-4,0.004099278574122973,50379,2.0036740188339948e-4
Individuals,97173,10653,225990,154812,Venezuela,2017,0,0,0,0.08402676272909494,0.01579453779747725,0.023919384047491693,71178,0.005709908903616949
Corporations,2895,2246,88888,80643,Venezuela,2017,0,0,0,2.999339043015918e-4,1.708391277846847e-4,0.004265784138061109,8245,3.279202105100595e-5
Individuals,9568,4092,20040,366,Vietnam,2017,0,0,0,1.9865252796197162e-4,0.001400604174792885,0.002355187825490625,19674,0.0015782509731905906
Corporations,149,161,7827,4810,Vietnam,2017,0,0,0,1.7889737233121987e-5,1.504317627993348e-5,2.1955158430780837e-4,3017,1.1999214980095203e-5
Individuals,76443,23081,226904,132830,Argentina,2018,0,1,0,0.054698206567573265,0.013685068990469835,0.016536536328656603,94074,0.0066474043579736845
Corporations,1923,9379,135213,54264,Argentina,2018,0,1,0,1.808910023937356e-4,2.1464703569591014e-4,0.0026515104509222376,80949,2.4533711504483145e-4
Individuals,180178,44336,356594,15927,Australia,2018,0,1,0,0.006558596220746363,0.021506952242303354,0.038977016111673916,340667,0.02407202096666264
Corporations,18476,361037,9885742,2862822,Australia,2018,0,1,0,0.009543320456561236,0.015693352088590285,0.025475458705792646,7022920,0.021284795760177985
Individuals,24408,7942,77481,6810,Austria,2018,0,1,0,0.0028042971220746363,0.004673046003819207,0.005280061990108321,70671,0.004993714664863386
Corporations,1754,15140,742229,354365,Austria,2018,0,1,0,0.001181288516571873,0.001178268766002823,0.002418486391532816,387864,0.0011755232898460575
Individuals,3451,2861,20129,6951,Bahamas,2018,0,1,0,0.002862359661606578,0.0012140233477998066,7.465377715447318e-4,13178,9.311764635220913e-4
Corporations,18492,144531,1516993,804415,Bahamas,2018,0,1,0,0.002681546433925933,0.0024081859778382684,0.025497520155202298,712578,0.0021596539891093887
Individuals,1306,662,2997,217,Bahrain,2018,0,1,0,8.935866013071895e-5,1.807555255281445e-4,2.8252052438059106e-4,2780,1.9643880471933628e-4
Corporations,283,1070,87410,22651,Bahrain,2018,0,1,0,7.550792597708435e-5,1.3876104657229338e-4,3.902118864331738e-4,64759,1.962690858835593e-4
Individuals,1697,1017,9305,1593,Barbados,2018,0,1,0,6.559831593927894e-4,5.612045929394009e-4,3.67103621649206e-4,7712,5.449410294947919e-4
Corporations,1642,16204,4809276,938337,Barbados,2018,0,1,0,0.0031279802541856606,0.007634597540498946,0.0022640562456652698,3870939,0.01173189300392253
Individuals,36854,10508,95324,5650,Belgium,2018,0,1,0,0.002326619491882775,0.005749195767582531,0.007972443648945102,89674,0.006336494019568979
Corporations,3052,10487,2787654,912400,Belgium,2018,0,1,0,0.0030415183286164743,0.00442532646746871,0.004208221474890623,1875254,0.0056834476810866145
Individuals,6182,4757,27413,7573,Bermuda,2018,1,1,0,0.0031184937012439383,0.0016533370775118534,0.0013373215020833185,19840,0.001401922980443033
Corporations,11960,370956,10991835,9382586,Bermuda,2018,1,1,0,0.031277189049561956,0.017449245261983347,0.01649093343371293,1609249,0.004877249960453866
Individuals,74041,29050,238860,50757,Brazil,2018,0,1,0,0.02090127885831752,0.014406161103654518,0.016016923541855545,188103,0.013291628951122776
Corporations,3622,43929,375816,213107,Brazil,2018,0,1,0,7.103998755550975e-4,5.965978890128476e-4,0.004994160610109383,162709,4.931321776900207e-4
Individuals,988,924,7594,4679,British Virgin Islands,2018,1,1,0,0.0019267703721273456,4.5801049745102743e-4,2.1372915626954362e-4,2915,2.0597809919311702e-4
Corporations,102536,390499,4545353,2818131,British Virgin Islands,2018,1,1,0,0.009394341395158125,0.007215626808380202,0.14138079854173818,1727222,0.005234797990363857
Individuals,698,55,276,38,Brunei,2018,0,1,0,1.5648060299388573e-5,1.6646154503092384e-5,1.509948897531796e-4,238,1.6817422850072677e-5
Corporations,23,405,10828,10638,Brunei,2018,0,1,0,3.5462156926591466e-5,1.7189161563720316e-5,3.171333352637102e-5,190,5.758446905893585e-7
Individuals,524661,175881,1950596,73334,Canada,2018,0,1,0,0.030198285631456885,0.11764464633736954,0.11349732070600711,1877262,0.13265003720324844
Corporations,75933,697065,44111766,17110771,Canada,2018,0,1,0,0.05703937265810964,0.0700262534757134,0.10469950237643175,27000995,0.08183357690199902
Individuals,2617,3935,237242,221358,Cayman Islands,2018,1,1,1,0.09115324557242252,0.01430857603848784,5.66122674045947e-4,15884,0.0011223863216409849
Corporations,147846,2868781,99550908,81109453,Cayman Islands,2018,1,1,1,0.2703812888245906,0.1580344146127685,0.2038560655886891,18441455,0.05589165236048725
Individuals,19578,9094,58655,21685,Chile,2018,0,1,0,0.008929689147164242,0.0035376093926771154,0.00423521196502543,36970,0.002612353457004987
Corporations,7761,121080,1001344,277464,Chile,2018,0,1,0,9.249362577063145e-4,0.0015896069261970775,0.010701181804268062,723880,0.0021939076559148673
Individuals,374588,35237,982166,182241,China,2018,0,1,0,0.07504521465844402,0.059236547042334185,0.08103277043390264,799925,0.05652385282917809
Corporations,3994,78335,3046612,2056388,China,2018,0,1,0,0.006855043613269371,0.004836415394345131,0.005507089308883732,990224,0.0030011328047060888
Individuals,26940,8846,56745,15985,Colombia,2018,0,1,0,0.006582480102255956,0.0034224131785433962,0.005827797034313264,40760,0.002880160316676312
Corporations,3526,52532,599049,158718,Colombia,2018,0,1,0,5.290921811500982e-4,9.509743300318703e-4,0.004861791913651487,440331,0.0013345382550100148
Individuals,2583,1206,12060,3791,Cyprus,2018,0,1,0,0.0015610999103942652,7.273645772003412e-4,5.587676221095457e-4,8269,5.842994518792056e-4
Corporations,1537,7441,196647,75736,Cyprus,2018,0,1,0,2.524686893205801e-4,3.1217187421692913e-4,0.0021192779839144457,120911,3.6645240728342066e-4
Individuals,17694,2357,26278,1189,Czech Republic,2018,0,1,0,4.896195709466583e-4,0.0015848827827255859,0.003827655557726017,25089,0.0017728248818717368
Corporations,711,5570,93540,9977,Czech Republic,2018,0,1,0,3.3258689571028675e-5,1.4849225828134451e-4,9.803556581412954e-4,83563,2.5325952568272926e-4
Individuals,14671,22368,182652,28494,Denmark,2018,0,1,0,0.011733574478178369,0.011016135551807357,0.0031737049105571603,154158,0.010893026351771024
Corporations,5368,81697,3605523,1276654,Denmark,2018,0,1,0,0.004255772183583446,0.005723671718573103,0.007401616276937375,2328869,0.007058246572253414
Individuals,137,165,928,5,East Timor,2018,0,1,0,2.058955302551128e-6,5.596967890894831e-5,2.9636532802558172e-5,923,6.522050962444151e-5
Corporations,NA,0,NA,NA,East Timor,2018,0,1,0,NA,NA,NA,NA,NA
Individuals,10639,2056,32161,1614,Egypt,2018,0,1,0,6.646307716635041e-4,0.0019396991846882398,0.0023014822809227474,30547,0.002158495024374664
Corporations,108,219,3558,542,Egypt,2018,0,1,0,1.8067765608396855e-6,5.648230221990846e-6,1.4891478351513346e-4,3016,9.14077677272371e-6
Individuals,15440,6787,36025,6021,El Salvador,2018,0,1,0,0.0024793939753320685,0.002172745347731533,0.0033400588793540014,30004,0.0021201258621579015
Corporations,476,670,45362,6862,El Salvador,2018,0,1,0,2.287472465033565e-5,7.201096664697829e-5,6.563281199370697e-4,38500,1.1668431888258053e-4
Individuals,11665,2382,18022,353,Finland,2018,0,1,0,1.4536224436010963e-4,0.0010869456393287353,0.0025234317893565042,17669,0.0012485169930165298
Corporations,2481,31146,1290783,423069,Finland,2018,0,1,0,0.0014103157801067987,0.0020490836286205763,0.0034209034990837603,867714,0.0026298342097371293
Individuals,94590,39625,345096,20512,France,2018,0,1,0,0.008446658233185748,0.020813483095649166,0.020462187137182317,324584,0.022935573018352896
Corporations,10839,120826,41501228,12799435,France,2018,0,1,0,0.04266737850551863,0.06588209394022843,0.014945253134449367,28701793,0.08698829004970955
Individuals,1748,975,11454,45,Gabon,2018,0,1,0,1.853059772296015e-5,6.90815411878334e-4,3.7813619955380794e-4,11409,8.061763751952906e-4
Corporations,441,132,135253,765,Gabon,2018,0,1,0,2.5501551089342426e-6,2.147105346303901e-4,6.080686993534617e-4,134488,4.076010565683244e-4
Individuals,402517,70094,1510215,138176,Germany,2018,0,1,0,0.056899641577060935,0.09108431964814372,0.0870745129495424,1372039,0.09695025222601203
Corporations,28072,288872,26502581,7342602,Germany,2018,0,1,0,0.024476828762314752,0.042072141361708934,0.03870681298922988,19159979,0.05806932725765056
Individuals,21953,13645,86610,6419,Greece,2018,0,1,0,0.002643286817415138,0.005223635657655186,0.004748983975288756,80191,0.005666411578866294
Corporations,402,462,48859,17865,Greece,2018,0,1,0,5.955362224981731e-5,7.756236099388722e-5,5.542939164174413e-4,30994,9.393542284277146e-5
Individuals,10137,8237,38985,8528,Guatemala,2018,0,1,0,0.0035117541640312037,0.0023512693235617993,0.002192887102332352,30457,0.0021521354947254766
Corporations,509,399,13242,9901,Guatemala,2018,0,1,0,3.300534082818031e-5,2.102132225958482e-5,7.018298593444716e-4,3341,1.0125774269784455e-5
Individuals,326,470,38930,34746,Guernsey,2018,0,1,0,0.0143080921884883,0.0023479521550919804,7.052196856667127e-5,4184,0.00029564746724665576
Corporations,9315,117627,1663071,1071245,Guernsey,2018,0,1,0,0.003571033868850016,0.002640080911612293,0.012843900078180261,591826,0.0017936834729091456
Individuals,71952,55305,282505,75126,Hong Kong,2018,1,1,0,0.03093621521189121,0.017038485064840993,0.015565020497880772,207379,0.014653698879097569
Corporations,4797,87153,2110855,1540187,Hong Kong,2018,1,1,0,0.005134268950018436,0.0033509260835414526,0.006614298301130511,570668,0.0017295586204697263
Individuals,9001,1941,19888,796,Hungary,2018,0,1,0,3.277856841661396e-4,0.001199488118686599,0.0019471418376337674,19092,0.0013490682229142332
Corporations,647,4391,550228,344932,Hungary,2018,0,1,0,0.0011498432706338643,8.73472293025739e-4,8.921098605026977e-4,205296,6.222032189433312e-4
Individuals,176687,33838,228744,9748,India,2018,0,1,0,0.004014139257853679,0.013796043353823785,0.03822182533785107,218996,0.015474572833926536
Corporations,2878,101475,5179859,193605,India,2018,0,1,0,6.453892547257699e-4,0.008222888181408455,0.003968303212560686,4986254,0.015112146799105006
Individuals,16615,2660,22946,1690,Indonesia,2018,0,1,0,6.959268922622812e-4,0.001383922685608543,0.0035942408212737524,21256,0.001501979580256911
Corporations,282,623,37325,35081,Indonesia,2018,0,1,0,1.1694377957715315e-4,5.925244323659593e-5,3.8883304584507074e-4,2244,6.801028872013265e-6
Individuals,1095,513,2972,57,Iraq,2018,0,1,0,2.347209044908286e-5,1.792477216782267e-4,2.368759373635124e-4,2915,2.0597809919311702e-4
Corporations,23,193,652,5,Iraq,2018,0,1,0,1.6667680450550603e-8,1.0350326320230556e-6,3.171333352637102e-5,647,1.9609027095332366e-6
Individuals,70725,12062,137672,3952,Ireland,2018,0,1,0,0.0016273982711364115,0.008303294865035272,0.015299589652999466,133720,0.009448847829881169
Corporations,25561,1271452,39614740,23722929,Ireland,2018,0,1,0,0.07908123998462,0.0628873444924985,0.03524454427250302,15891811,0.04816428941157665
Individuals,414,1168,4836,395,Isle of Man,2018,0,1,0,1.6265746890153912e-4,2.91669576728097e-4,8.955857357853346e-5,4441,3.138074574671124e-4
Corporations,1060,4508,152814,132965,Isle of Man,2018,0,1,0,4.432436262214922e-4,2.4258815434044663e-4,0.001461571023389273,19849,6.015758559741145e-5
Individuals,75080,25641,301670,90235,Israel,2018,0,1,0,0.03715796634514021,0.01819436749618797,0.01624168527602969,211435,0.014940301681954269
Corporations,11388,110641,1272823,640596,Israel,2018,0,1,0,0.002135449885180183,0.002020572607039082,0.015702236617317962,632227,0.0019161292694591491
Individuals,81427,16283,340445,22268,Italy,2018,0,1,0,0.009169763335441703,0.02053297126741046,0.017614700412510252,318177,0.022482845168771318
Corporations,5016,92142,2131762,602301,Italy,2018,0,1,0,0.0020077921206094157,0.003384115389120756,0.006916264389925088,1529461,0.004635431559544688
Individuals,5363,2692,16855,1794,Jamaica,2018,0,1,0,7.387531625553447e-4,0.001016561355614573,0.0011601512804388283,15061,0.0010642319560711956
Corporations,668,961,201820,196220,Jamaica,2018,0,1,0,6.541064516014079e-4,3.2038387391854765e-4,9.210655128528625e-4,5600,1.6972264564738985e-5
Individuals,262435,24556,857029,43015,Japan,2018,0,1,0,0.017713192467847354,0.051689265027647695,0.05677126632145514,814014,0.05751940186503806
Corporations,14856,258655,59821288,24271772,Japan,2018,0,1,0,0.08091082793292431,0.0949647011804436,0.02048405577685947,35549516,0.10774210548221815
Individuals,436,880,5752,2261,Jersey,2018,0,1,0,9.310595878136201e-4,3.469155097890848e-4,9.4317724831499e-5,3491,2.4667908894791476e-4
Corporations,4621,66292,695720,417614,Jersey,2018,0,1,0,0.001392131340735248,0.0011044369674096323,0.006371622357624368,278106,8.428729659002322e-4
Individuals,53309,18762,159835,11918,"Korea, Republic of (South)",2018,0,1,0,0.004907725859160868,0.00963999313406439,0.011532072461106378,147917,0.010452028301320167
Corporations,3512,245688,3999084,1570385,"Korea, Republic of (South)",2018,0,1,0,0.005234935072867582,0.006348439322394615,0.004842488145418044,2428699,0.007360807495735181
Individuals,3366,1690,63070,56195,Kuwait,2018,0,1,0,0.02314059864537213,0.0038038875525725968,7.281501417037285e-4,6875,4.8579740375735144e-4
Corporations,580,1876,53873,43579,Kuwait,2018,0,1,0,1.4527216927090895e-4,8.552195243094796e-5,7.997275410997908e-4,10294,3.119865918382556e-5
Individuals,398,242,1400,108,Liberia,2018,0,1,0,4.4473434535104363e-5,8.443701559539615e-5,8.609737266728578e-5,1292,9.129458118610881e-5
Corporations,643,3917,126820,20910,Liberia,2018,0,1,0,6.970423964420263e-5,2.013233717686563e-4,8.865944981502853e-4,105910,3.209879535806261e-4
